Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
1989,1,20,5,1735,1715,1826,1810,UA,199,,51,55,,16,20,HNL,KOA,163,,,0,,0,,,,,,YES,YES
1997,1,26,7,1625,1625,1828,1825,DL,847,N470DA,243,240,229,3,0,CVG,PHX,1569,3,11,0,,0,,,,,,YES,NO
1992,1,1,3,800,800,851,902,US,83,,51,62,,-11,0,BGM,PIT,251,,,0,,0,,,,,,NO,NO
1997,1,13,1,1005,935,1214,1121,UA,1653,N7442U,129,106,109,53,30,DEN,PHX,602,6,14,0,,0,,,,,,YES,YES
1990,1,23,2,703,705,903,904,US,57,,120,119,,-1,-2,PHL,IND,587,,,0,,0,,,,,,NO,NO
1995,1,17,2,621,620,740,750,US,1471,N397US,79,90,67,-10,1,PWM,PHL,365,3,9,0,,0,,,,,,NO,YES
1998,1,9,5,1138,1135,1325,1327,HP,2024,N166AW,107,112,88,-2,3,DEN,PHX,602,5,14,0,,0,,,,,,NO,YES
1998,1,17,6,1740,1740,1950,1955,WN,545,N312,70,75,58,-5,0,BUR,PHX,369,2,10,0,,0,,,,,,NO,NO
2008,1,3,4,1602,1510,2357,2255,WN,3144,N272WN,295,285,269,62,52,LAS,ISP,2283,4,22,0,,0,13,0,10,0,39,YES,YES
2005,1,14,5,1758,1745,2111,2053,UA,566,N913UA,133,128,99,18,13,ORD,ATL,606,12,22,0,,0,13,0,5,0,0,YES,YES
2007,1,2,2,638,635,902,855,WN,262,N452,84,80,68,7,3,BNA,RDU,443,6,10,0,,0,0,0,0,0,0,YES,YES
2001,1,21,7,1848,1745,1938,1837,US,437,N828äâ,50,52,30,61,63,CLT,CHS,168,3,17,0,,0,,,,,,YES,YES
2008,1,3,4,1757,1710,1951,1855,WN,1395,N391SW,114,105,86,56,47,SEA,SMF,605,5,23,0,,0,23,0,9,0,24,YES,YES
1997,1,1,3,1008,1008,1229,1225,HP,2494,N509DC,81,77,66,4,0,BUR,PHX,369,3,12,0,,0,,,,,,YES,NO
1990,1,28,7,1428,1430,1714,1652,US,37,,346,322,,22,-2,PIT,SFO,2254,,,0,,0,,,,,,YES,NO
1995,1,27,5,652,650,743,749,US,243,N889US,51,59,37,-6,2,ORF,PHL,211,7,7,0,,0,,,,,,NO,YES
1999,1,30,6,756,800,1619,1626,US,70,N515AU,323,326,308,-7,-4,SFO,PHL,2521,4,11,0,,0,,,,,,NO,NO
2007,1,2,2,1717,1705,8,2350,WN,1720,N763,231,225,218,18,12,LAS,CMH,1772,2,11,0,,0,12,0,6,0,0,YES,YES
2001,1,7,7,1318,1255,1532,1516,US,379,N860äâ,74,81,60,16,23,MKE,PIT,431,6,8,0,,0,,,,,,YES,YES
1988,1,17,7,1709,1710,1826,1825,PI,953,,77,75,,1,-1,JFK,BUF,301,,,0,,0,,,,,,YES,NO
2005,1,19,3,726,725,938,937,UA,578,N343UA,72,72,53,1,1,ORD,CLE,316,6,13,0,,0,0,0,0,0,0,YES,YES
1990,1,11,4,1850,1850,1959,1948,US,42,,69,58,,11,0,EWR,SYR,194,,,0,,0,,,,,,YES,NO
1992,1,1,3,1046,1045,1130,1144,US,55,,44,59,,-14,1,BWI,PIT,210,,,0,,0,,,,,,NO,YES
1997,1,8,3,2028,1923,2220,2133,HP,2611,N629AW,232,250,210,47,65,ATL,PHX,1587,6,16,0,,0,,,,,,YES,YES
1993,1,23,6,709,710,859,854,US,93,,110,104,,5,-1,BWI,IND,515,,,0,,0,,,,,,YES,NO
1991,1,2,3,1720,1720,1837,1847,US,140,,77,87,,-10,0,BWI,BOS,370,,,0,,0,,,,,,NO,NO
2006,1,11,3,705,715,817,830,US,1039,N777AU,72,75,51,-13,-10,SYR,PHL,228,12,9,0,,0,0,0,0,0,0,NO,NO
2003,1,27,1,1353,1400,1518,1539,UA,1021,N512UA,85,99,67,-21,-7,BOS,IAD,413,4,14,0,,0,,,,,,NO,NO
2004,1,12,1,951,951,1134,1135,UA,482,N389UA,103,104,84,-1,0,PHX,DEN,602,9,10,0,,0,0,0,0,0,0,NO,NO
1999,1,21,4,1059,1100,1859,1907,UA,32,N816UA,300,307,281,-8,-1,SFO,PHL,2521,5,14,0,,0,,,,,,NO,NO
1989,1,6,5,1746,1630,1932,1800,UA,237,,166,150,,92,76,ORD,DEN,888,,,0,,0,,,,,,YES,YES
2006,1,11,3,1920,1920,2047,2056,US,472,N577US,87,96,72,-9,0,CLT,CLE,430,5,10,0,,0,0,0,0,0,0,NO,NO
1990,1,11,4,1745,1630,1833,1723,US,29,,48,53,,70,75,CMH,IND,182,,,0,,0,,,,,,YES,YES
2000,1,17,1,,1036,,1336,HP,2807,N904AW,,300,,,,BWI,PHX,1999,0,0,1,,0,,,,,,YES,YES
2000,1,12,3,1804,1805,2027,2026,HP,2210,N334AW,83,81,65,1,-1,BUR,PHX,369,7,11,0,,0,,,,,,YES,NO
1990,1,11,4,1110,1110,1245,1243,US,49,,95,93,,2,0,LGA,CLE,418,,,0,,0,,,,,,YES,NO
1995,1,22,7,1657,1655,1815,1807,US,732,N582US,78,72,67,8,2,RDU,PHL,336,4,7,0,,0,,,,,,YES,YES
1999,1,8,5,829,830,1657,1648,UA,30,N406UA,328,318,295,9,-1,SFO,PHL,2521,7,26,0,,0,,,,,,YES,NO
1993,1,24,7,2102,2055,2220,2223,US,98,,78,88,,-3,7,IND,BWI,515,,,0,,0,,,,,,NO,YES
1998,1,23,5,1420,1420,1545,1540,WN,743,N630,145,140,133,5,0,AUS,PHX,872,3,9,0,,0,,,,,,YES,NO
1990,1,4,4,1145,1135,1310,1245,US,56,,85,70,,25,10,TYS,PIT,382,,,0,,0,,,,,,YES,YES
1999,1,11,1,1032,1028,1259,1249,US,1464,N703UW,147,141,133,10,4,TPA,PHL,920,4,10,0,,0,,,,,,YES,YES
1992,1,17,5,1657,1645,1848,1811,US,82,,111,86,,37,12,PIT,PVD,467,,,0,,0,,,,,,YES,YES
1993,1,12,2,915,830,1034,952,US,88,,79,82,,42,45,PIT,BDL,406,,,0,,0,,,,,,YES,YES
1994,1,17,1,701,700,912,917,US,250,,71,77,,-5,1,MCI,IND,451,,,0,,0,,,,,,NO,YES
1994,1,16,7,1301,1300,1517,1521,US,242,,136,141,,-4,1,TPA,PIT,873,,,0,,0,,,,,,NO,YES
2000,1,2,7,1035,1004,1259,1225,HP,2273,N323AW,84,81,75,34,31,BUR,PHX,369,3,6,0,,0,,,,,,YES,YES
2002,1,9,3,1432,1430,1553,1606,US,755,N352äâ,81,96,66,-13,2,DTW,CLT,500,5,10,0,,0,,,,,,NO,YES
2004,1,25,7,1824,1805,2219,2205,UA,498,N505UA,175,180,145,14,19,ORD,FLL,1182,4,26,0,,0,0,0,0,0,0,YES,YES
1996,1,3,3,1740,1740,1950,1955,WN,1704,N604,70,75,59,-5,0,BUR,PHX,369,5,6,0,,0,,,,,,NO,NO
2001,1,26,5,,2105,,2144,US,433,äNKNOæ,,99,,,,PIT,MKE,431,0,0,1,,0,,,,,,YES,YES
1996,1,17,3,1108,850,1309,1042,UA,1063,N569UA,121,112,95,147,138,DEN,PHX,602,3,23,0,,0,,,,,,YES,YES
1995,1,29,7,1912,1915,2204,2157,AA,704,N862AA,232,222,217,7,-3,SJU,PHL,1576,5,10,0,,0,,,,,,YES,NO
2001,1,8,1,1427,1430,1604,1611,US,395,N744äæ,97,101,80,-7,-3,MHT,PIT,485,7,10,0,,0,,,,,,NO,NO
1990,1,26,5,2136,2120,2224,2210,US,33,,48,50,,14,16,SFO,RNO,192,,,0,,0,,,,,,YES,YES
1995,1,26,4,1413,1415,1719,1726,US,752,N884US,126,131,111,-7,-2,STL,PHL,813,3,12,0,,0,,,,,,NO,NO
2001,1,16,2,1631,1635,1752,1800,US,379,N898äâ,81,85,62,-8,-4,PIT,HPN,345,4,15,0,,0,,,,,,NO,NO
1995,1,9,1,1129,1125,1222,1220,US,974,N251AU,53,55,40,2,4,RIC,PHL,198,6,7,0,,0,,,,,,YES,YES
1994,1,5,3,922,855,1635,1638,US,282,,253,283,,-3,27,LAX,PIT,2136,,,0,,0,,,,,,NO,YES
2000,1,17,1,1925,1830,2233,2130,WN,161,N723,308,300,292,63,55,BWI,PHX,1999,3,13,0,,0,,,,,,YES,YES
2004,1,25,7,2023,1940,2310,2215,UA,481,N808UA,287,275,248,55,43,ORD,OAK,1835,6,33,0,,0,0,0,13,0,42,YES,YES
1990,1,6,6,1027,945,1227,1215,US,31,,300,330,,12,42,PIT,SFO,2254,,,0,,0,,,,,,YES,YES
1994,1,21,5,1303,1300,1532,1521,US,242,,149,141,,11,3,TPA,PIT,873,,,0,,0,,,,,,YES,YES
1997,1,15,3,1013,935,1153,1121,UA,1653,N7441U,100,106,84,32,38,DEN,PHX,602,4,12,0,,0,,,,,,YES,YES
1992,1,11,6,829,825,1607,1555,US,82,,278,270,,12,4,LAX,PIT,2136,,,0,,0,,,,,,YES,YES
1990,1,9,2,732,730,801,856,US,31,,29,86,,-55,2,BDL,PIT,406,,,0,,0,,,,,,NO,YES
2005,1,9,7,1003,1010,1246,1258,UA,559,N321UA,163,168,137,-12,-7,ORD,IAH,925,4,22,0,,0,0,0,0,0,0,NO,NO
2004,1,13,2,1805,1815,2126,2129,UA,504,N363UA,141,134,114,-3,-10,LAX,DEN,862,6,21,0,,0,0,0,0,0,0,NO,NO
1993,1,20,3,1408,1405,1638,1643,US,70,,150,158,,-5,3,TPA,LGA,1011,,,0,,0,,,,,,NO,YES
2007,1,2,2,1811,1810,1925,1930,WN,392,N789,74,80,63,-5,1,LAX,SMF,373,4,7,0,,0,0,0,0,0,0,NO,YES
2002,1,12,6,1250,1245,1456,1508,US,802,N816äâ,126,143,110,-12,5,TPA,PIT,873,8,8,0,,0,,,,,,NO,YES
2001,1,4,4,824,825,956,1009,US,429,N440äâ,92,104,76,-13,-1,BUF,CLT,546,5,11,0,,0,,,,,,NO,NO
2000,1,3,1,1755,1755,2017,2010,WN,935,N363,82,75,67,7,0,BUR,PHX,369,3,12,0,,0,,,,,,YES,NO
1992,1,3,5,1454,1455,1714,1707,US,78,,140,132,,7,-1,MCO,PIT,834,,,0,,0,,,,,,YES,NO
1997,1,13,1,1303,1255,1427,1415,WN,639,N335,144,140,122,12,8,AUS,PHX,872,15,7,0,,0,,,,,,YES,YES
1992,1,1,3,,1230,,1344,US,70,,,74,,,,PIT,LGA,335,,,1,,0,,,,,,YES,YES
2002,1,13,7,729,730,1506,1508,US,740,N609Aä,277,278,250,-2,-1,SFO,PIT,2254,8,19,0,,0,,,,,,NO,NO
1993,1,3,7,1812,1805,2009,2004,US,111,,117,119,,5,7,BOS,CLE,563,,,0,,0,,,,,,YES,YES
1992,1,16,4,1558,1600,1655,1713,US,85,,57,73,,-18,-2,LAX,SFO,337,,,0,,0,,,,,,NO,NO
2004,1,12,1,2005,1920,2035,1945,UA,489,N956UA,90,85,71,50,45,CMH,ORD,296,5,14,0,,0,0,0,50,0,0,YES,YES
1999,1,24,7,1814,1725,2039,1952,US,382,N230AU,145,147,132,47,49,TPA,PHL,920,4,9,0,,0,,,,,,YES,YES
2002,1,31,4,2043,2045,2132,2136,US,759,N507Aä,49,51,30,-4,-2,PIT,CMH,144,4,15,0,,0,,,,,,NO,NO
2003,1,2,4,1706,1710,1824,1847,UA,1020,N561UA,78,97,59,-23,-4,IAD,BOS,413,7,12,0,,0,,,,,,NO,NO
1993,1,13,3,841,830,1147,1120,US,107,,366,350,,27,11,PHL,SFO,2521,,,0,,0,,,,,,YES,YES
2000,1,17,1,1644,1644,1912,1910,HP,2188,N804AW,268,266,248,2,0,CLE,PHX,1737,10,10,0,,0,,,,,,YES,NO
1992,1,30,4,1056,1100,1134,1144,US,84,,38,44,,-10,-4,CLT,RDU,130,,,0,,0,,,,,,NO,NO
2005,1,19,3,1826,1827,2148,2140,UA,568,N815UA,142,133,124,8,-1,SNA,DEN,846,6,12,0,,0,0,0,0,0,0,YES,NO
2000,1,3,1,927,930,1100,1100,HP,2286,N149AW,153,150,137,0,-3,AUS,PHX,872,8,8,0,,0,,,,,,NO,NO
1989,1,29,7,1138,1140,1447,1521,UA,193,,309,341,,-34,-2,LAX,HNL,2556,,,0,,0,,,,,,NO,NO
2002,1,17,4,931,935,1113,1118,US,728,N411äâ,102,103,85,-5,-4,CLT,BUF,546,3,14,0,,0,,,,,,NO,NO
1993,1,25,1,1541,1540,1728,1719,US,95,,107,99,,9,1,PVD,PIT,467,,,0,,0,,,,,,YES,YES
1999,1,23,6,1950,1950,2202,2157,DL,345,N408DA,252,247,219,5,0,ATL,PHX,1587,7,26,0,,0,,,,,,YES,NO
2008,1,3,4,1021,1025,1106,1115,WN,3754,N280WN,45,50,30,-9,-4,RSW,MCO,133,10,5,0,,0,,,,,,NO,NO
2004,1,8,4,1725,1730,1827,1810,UA,481,N836UA,122,100,82,17,-5,PIT,ORD,412,8,32,0,,0,0,0,17,0,0,YES,NO
1994,1,19,3,934,855,1711,1638,US,282,,277,283,,33,39,LAX,PIT,2136,,,0,,0,,,,,,YES,YES
2006,1,11,3,2223,2010,45,2258,US,723,N619AU,142,168,125,107,133,PHL,TPA,920,3,14,0,,0,0,0,0,0,107,YES,YES
2001,1,1,1,808,810,934,926,US,423,N738äæ,86,76,54,8,-2,CLT,JAX,329,3,29,0,,0,,,,,,YES,NO
2004,1,12,1,1730,1730,1840,1810,UA,481,N828UA,130,100,75,30,0,PIT,ORD,412,6,49,0,,0,0,0,30,0,0,YES,NO
2004,1,5,1,,1200,,1313,UA,487,0,,133,,,,PHL,ORD,678,0,0,1,C,0,0,0,0,0,0,YES,YES
1990,1,27,6,1818,1820,1834,1838,US,45,,76,78,,-4,-2,PHX,BUR,369,,,0,,0,,,,,,NO,NO
1995,1,1,7,1221,1200,1342,1329,US,260,N301AU,81,89,70,13,21,PWM,PHL,365,3,8,0,,0,,,,,,YES,YES
1993,1,1,5,1051,1050,1244,1250,US,103,,113,120,,-6,1,LGA,GSP,610,,,0,,0,,,,,,NO,YES
1989,1,14,6,2033,2035,2109,2109,UA,184,,36,34,,0,-2,LIH,HNL,102,,,0,,0,,,,,,NO,NO
2008,1,3,4,1528,1445,1727,1655,WN,1424,N385SW,59,70,49,32,43,ONT,PHX,325,3,7,0,,0,1,0,0,0,31,YES,YES
2008,1,3,4,627,630,750,755,WN,1034,N420WN,83,85,65,-5,-3,OAK,LAS,407,6,12,0,,0,,,,,,NO,NO
2005,1,20,4,1923,1705,2112,1902,UA,543,N347UA,169,177,141,130,138,BOS,ORD,867,5,23,0,,0,0,0,128,0,2,YES,YES
1990,1,26,5,1342,1335,1514,1453,US,50,,92,78,,21,7,CLE,LGA,418,,,0,,0,,,,,,YES,YES
1999,1,19,2,1420,1420,1545,1530,WN,552,N668,85,70,58,15,0,ABQ,PHX,328,3,24,0,,0,,,,,,YES,NO
1988,1,15,5,957,1000,1052,1103,PI,962,,55,63,,-11,-3,BWI,SYR,273,,,0,,0,,,,,,NO,NO
1999,1,26,2,2200,2205,538,612,US,68,N632AU,278,307,259,-34,-5,SFO,PHL,2521,4,15,0,,0,,,,,,NO,NO
2000,1,15,6,1905,1830,2150,2135,WN,161,N744,285,305,270,15,35,BWI,PHX,1999,5,10,0,,0,,,,,,YES,YES
2001,1,22,1,1549,1546,1711,1741,US,387,N411äâ,82,115,58,-30,3,LGA,PIT,335,14,10,0,,0,,,,,,NO,YES
1998,1,22,4,745,745,1001,955,WN,1534,N367,76,70,65,6,0,BUR,PHX,369,3,8,0,,0,,,,,,YES,NO
1995,1,4,3,1817,1815,1950,1945,US,1561,N507AU,93,90,84,5,2,PWM,PHL,365,3,6,0,,0,,,,,,YES,YES
1989,1,25,3,716,715,1027,1033,UA,220,,131,138,,-6,1,DEN,ORD,888,,,0,,0,,,,,,NO,YES
1994,1,28,5,2034,1955,2323,2248,US,275,,169,173,,35,39,PIT,FLL,994,,,0,,0,,,,,,YES,YES
2004,1,22,4,746,755,1201,1214,UA,480,N950UA,195,199,172,-13,-9,TUS,ORD,1437,10,13,0,,0,0,0,0,0,0,NO,NO
1987,10,7,3,635,635,729,722,PS,1519,,114,107,,7,0,ABQ,LAX,677,,,0,,0,,,,,,YES,NO
2004,1,24,6,1331,1330,1534,1546,UA,474,N322UA,63,76,46,-12,1,ORD,DTW,235,6,11,0,,0,0,0,0,0,0,NO,YES
1996,1,4,4,2031,1952,2311,2135,UA,341,N7464U,160,103,96,96,39,DEN,PHX,602,3,61,0,,0,,,,,,YES,YES
1993,1,31,7,802,800,1128,1116,US,80,,146,136,,12,2,MSY,DCA,969,,,0,,0,,,,,,YES,YES
1993,1,1,5,2033,2025,2115,2108,US,94,,42,43,,7,8,PIT,CLE,105,,,0,,0,,,,,,YES,YES
2002,1,22,2,2049,2045,2138,2136,US,759,N504Aä,49,51,33,2,4,PIT,CMH,144,3,13,0,,0,,,,,,YES,YES
1993,1,14,4,1301,1300,1357,1357,US,89,,116,117,,0,1,PIT,STL,553,,,0,,0,,,,,,NO,YES
2005,1,31,1,1350,1400,1623,1642,UA,566,N392UA,153,162,128,-19,-10,SAT,ORD,1041,11,14,0,,0,0,0,0,0,0,NO,NO
1997,1,15,3,1325,1325,1534,1540,WN,441,N392,69,75,60,-6,0,BUR,PHX,369,3,6,0,,0,,,,,,NO,NO
1992,1,18,6,849,850,1224,1240,US,88,,155,170,,-16,-1,DFW,PHL,1302,,,0,,0,,,,,,NO,NO
1996,1,29,1,1131,0,1257,0,AA,1447,N471AA,146,151,125,36,41,DFW,PHX,868,4,17,0,,0,,,,,,YES,YES
2007,1,2,2,1130,1130,1226,1230,WN,21,N519,56,60,47,-4,0,DAL,HOU,239,3,6,0,,0,0,0,0,0,0,NO,NO
2002,1,3,4,2010,2010,2136,2130,US,753,N514Aä,86,80,68,6,0,BWI,CLT,361,5,13,0,,0,,,,,,YES,NO
2007,1,2,2,1053,1055,1206,1205,WN,1109,N255,73,70,50,1,-2,FLL,JAX,318,8,15,0,,0,0,0,0,0,0,YES,NO
2000,1,15,6,917,910,1137,1125,DL,1943,N615DL,260,255,218,12,7,CVG,PHX,1569,6,36,0,,0,,,,,,YES,YES
2001,1,28,7,2223,2230,2328,2325,US,434,N815äâ,65,55,38,3,-7,PIT,BUF,186,3,24,0,,0,,,,,,YES,NO
2006,1,12,4,638,640,819,811,US,284,N102UW,101,91,72,8,-2,CLT,PHL,448,3,26,0,,0,0,0,0,0,0,YES,NO
1988,1,15,5,,705,,807,PI,960,,,62,,,,CHS,ORF,351,,,1,,0,,,,,,YES,YES
1987,10,6,2,1627,1628,1749,1745,PS,1476,,82,77,,4,-1,OAK,SAN,446,,,0,,0,,,,,,YES,NO
1993,1,8,5,720,720,940,1001,US,102,,140,161,,-21,0,MIA,PIT,1013,,,0,,0,,,,,,NO,NO
1991,1,31,4,1325,1325,1452,1437,US,126,,87,72,,15,0,PIT,ISP,375,,,0,,0,,,,,,YES,NO
1987,10,28,3,1932,1845,2040,1949,PS,1538,,68,64,,51,47,SFO,BUR,326,,,0,,0,,,,,,YES,YES
1992,1,18,6,1755,1755,1844,1843,US,78,,49,48,,1,0,PIT,CMH,144,,,0,,0,,,,,,YES,NO
1993,1,24,7,1649,1635,1808,1743,US,76,,79,68,,25,14,PIT,ALB,367,,,0,,0,,,,,,YES,YES
1997,1,31,5,800,800,1010,1010,WN,1534,N341,70,70,58,0,0,BUR,PHX,369,2,10,0,,0,,,,,,NO,NO
2002,1,29,2,1241,1245,1455,1508,US,802,N822äâ,134,143,122,-13,-4,TPA,PIT,873,3,9,0,,0,,,,,,NO,NO
1995,1,16,1,1218,1150,1503,1440,UA,1845,N950UA,105,110,91,23,28,ORD,PHL,678,3,11,0,,0,,,,,,YES,YES
1991,1,22,2,1159,1200,1302,1300,US,132,,63,60,,2,-1,EWR,BOS,200,,,0,,0,,,,,,YES,NO
2002,1,27,7,2057,2100,2218,2236,US,761,N724äæ,141,156,113,-18,-3,CLT,MCI,809,4,24,0,,0,,,,,,NO,NO
1989,1,29,7,800,800,1027,1045,UA,193,,327,345,,-18,0,EWR,LAX,2454,,,0,,0,,,,,,NO,NO
1992,1,15,3,2004,1950,2101,2111,US,67,,177,201,,-10,14,MCI,SAN,1333,,,0,,0,,,,,,NO,YES
1990,1,13,6,1542,1540,1703,1701,US,33,,81,81,,2,2,EWR,PIT,319,,,0,,0,,,,,,YES,YES
2008,1,3,4,2022,1925,2355,2300,WN,1158,N315SW,153,155,128,55,57,SEA,DEN,1024,7,18,0,,0,0,0,0,0,55,YES,YES
1988,1,31,7,1249,1250,1408,1405,PS,1478,,79,75,,3,-1,OAK,SAN,446,,,0,,0,,,,,,YES,NO
1988,1,17,7,951,950,1040,1050,PI,970,,49,60,,-10,1,LGA,SYR,198,,,0,,0,,,,,,NO,YES
2001,1,5,5,2151,2115,2319,2239,US,435,N563äâ,148,144,118,40,36,PIT,MSP,726,5,25,0,,0,,,,,,YES,YES
1988,1,8,5,701,700,927,930,PS,1400,,146,150,,-3,1,SEA,LAX,954,,,0,,0,,,,,,NO,YES
2008,1,3,4,1523,1435,1734,1650,WN,1276,N265WN,251,255,238,44,48,MDW,RNO,1680,5,8,0,,0,31,0,0,0,13,YES,YES
1994,1,4,2,,1925,,2024,US,240,,,59,,,,CVG,PIT,256,,,1,,0,,,,,,YES,YES
1995,1,1,7,1820,1820,1946,1949,US,410,N589US,86,89,72,-3,0,PWM,PHL,365,4,10,0,,0,,,,,,NO,NO
2005,1,12,3,1339,1220,1615,1450,UA,598,N592UA,96,90,79,85,79,DEN,MCI,533,5,12,0,,0,53,0,6,0,26,YES,YES
1994,1,16,7,707,700,853,851,US,237,,106,111,,2,7,BOS,PIT,496,,,0,,0,,,,,,YES,YES
1994,1,24,1,1338,1340,1748,1748,US,252,,190,188,,0,-2,IAH,PHL,1324,,,0,,0,,,,,,NO,NO
1987,10,4,7,2040,2000,2136,2059,PS,1465,,56,59,,37,40,BUR,OAK,325,,,0,,0,,,,,,YES,YES
1995,1,15,7,803,804,1125,1113,TW,430,N925L,142,129,113,12,-1,STL,PHL,813,5,24,0,,0,,,,,,YES,NO
2004,1,7,3,,900,,1444,UA,484,0,,224,,,,PDX,ORD,1739,0,0,1,C,0,0,0,0,0,0,YES,YES
1990,1,17,3,2136,2130,2251,2257,US,30,,75,87,,-6,6,PIT,BOS,496,,,0,,0,,,,,,NO,YES
1989,1,31,2,1338,1340,1547,1609,UA,191,,309,329,,-22,-2,IAD,LAX,2288,,,0,,0,,,,,,NO,NO
2002,1,26,6,1124,1130,1243,1307,US,744,N574äâ,79,97,62,-24,-6,PIT,BOS,496,5,12,0,,0,,,,,,NO,NO
2008,1,3,4,811,810,1239,1250,WN,297,N743SW,148,160,133,-11,1,SAN,AUS,1164,4,11,0,,0,,,,,,NO,YES
1987,10,4,7,2028,2030,2125,2123,PS,1496,,57,53,,2,-2,SNA,LAS,226,,,0,,0,,,,,,YES,NO
2007,1,2,2,1620,1535,2006,1940,WN,1166,N479,166,185,154,26,45,AUS,BWI,1342,4,8,0,,0,2,0,0,0,24,YES,YES
2001,1,1,1,2129,2130,2208,2228,US,388,N720äæ,39,58,27,-20,-1,PHL,DCA,119,3,9,0,,0,,,,,,NO,NO
1997,1,18,6,1219,1210,1358,1352,HP,1241,N188AW,99,102,84,6,9,COS,PHX,551,4,11,0,,0,,,,,,YES,YES
1993,1,29,5,709,710,854,854,US,93,,105,104,,0,-1,BWI,IND,515,,,0,,0,,,,,,NO,NO
1997,1,25,6,651,645,835,831,HP,2572,N626AW,104,106,86,4,6,COS,PHX,551,4,14,0,,0,,,,,,YES,YES
2002,1,12,6,1554,1600,1644,1656,US,751,N720äæ,50,56,36,-12,-6,DCA,PHL,119,5,9,0,,0,,,,,,NO,NO
2002,1,13,7,1553,1600,1649,1656,US,751,N767äæ,56,56,41,-7,-7,DCA,PHL,119,5,10,0,,0,,,,,,NO,NO
1998,1,12,1,1445,1445,1832,1833,HP,2602,N632AW,347,348,327,-1,0,BOS,PHX,2300,4,16,0,,0,,,,,,NO,NO
1994,1,27,4,2032,1955,2300,2248,US,275,,148,173,,12,37,PIT,FLL,994,,,0,,0,,,,,,YES,YES
1993,1,1,5,1711,1715,2044,2101,US,72,,153,166,,-17,-4,DFW,PIT,1068,,,0,,0,,,,,,NO,NO
1993,1,11,1,857,845,1154,1147,US,73,,357,362,,7,12,BWI,SFO,2457,,,0,,0,,,,,,YES,YES
2000,1,17,1,1809,1755,2040,2010,WN,935,N628,91,75,68,30,14,BUR,PHX,369,6,17,0,,0,,,,,,YES,YES
1994,1,8,6,1049,1050,1121,1130,US,258,,32,40,,-9,-1,TRI,CLT,120,,,0,,0,,,,,,NO,NO
1990,1,21,7,1356,1335,1513,1453,US,50,,77,78,,20,21,CLE,LGA,418,,,0,,0,,,,,,YES,YES
1990,1,6,6,1741,1745,1822,1832,US,44,,41,47,,-10,-4,PIT,CMH,144,,,0,,0,,,,,,NO,NO
1989,1,30,1,713,715,1027,1033,UA,220,,134,138,,-6,-2,DEN,ORD,888,,,0,,0,,,,,,NO,NO
1993,1,6,3,1728,1729,1828,1833,US,70,,60,64,,-5,-1,LGA,SYR,198,,,0,,0,,,,,,NO,NO
2006,1,11,3,1732,1630,1919,1852,US,137,N103UW,287,322,267,27,62,CLT,LAX,2125,7,13,0,,0,8,0,0,0,19,YES,YES
1994,1,8,6,1456,1450,1607,1550,US,279,,71,60,,17,6,SYR,EWR,194,,,0,,0,,,,,,YES,YES
1992,1,11,6,903,840,1108,1106,US,71,,305,326,,2,23,PIT,LAX,2136,,,0,,0,,,,,,YES,YES
1999,1,18,1,1148,1139,1256,1249,US,1783,N862US,68,70,60,7,9,ROC,PHL,257,5,3,0,,0,,,,,,YES,YES
2004,1,17,6,1214,1155,1449,1449,UA,499,N398UA,215,234,191,0,19,ORD,PHX,1440,5,19,0,,0,0,0,0,0,0,NO,YES
1992,1,29,3,1312,1315,1404,1416,US,63,,52,61,,-12,-3,CLE,IND,261,,,0,,0,,,,,,NO,NO
2002,1,27,7,1733,1735,1953,1949,US,750,N521Aä,140,134,123,4,-2,PBI,DCA,857,6,11,0,,0,,,,,,YES,NO
1991,1,12,6,2212,2145,30,2307,US,127,,138,82,,83,27,PIT,PVD,467,,,0,,0,,,,,,YES,YES
1997,1,31,5,820,820,1055,1110,WN,440,N322,215,230,203,-15,0,BNA,PHX,1448,2,10,0,,0,,,,,,NO,NO
2003,1,28,2,1831,1830,2118,2127,UA,1082,N310UA,107,117,81,-9,1,DEN,DFW,641,9,17,0,,0,,,,,,NO,YES
1995,1,2,1,1641,1610,1748,1715,US,1250,N624AU,67,65,44,33,31,PIT,PHL,267,6,17,0,,0,,,,,,YES,YES
1991,1,22,2,1329,1325,1406,1355,US,130,,97,90,,11,4,PIT,MDW,402,,,0,,0,,,,,,YES,YES
2002,1,11,5,1136,1140,1215,1221,US,729,N899äâ,99,101,84,-6,-4,PIT,BNA,462,4,11,0,,0,,,,,,NO,NO
1989,1,27,5,1727,1724,1828,1838,UA,227,,121,134,,-10,3,DEN,LAX,862,,,0,,0,,,,,,NO,YES
1991,1,18,5,707,705,803,803,US,123,,56,58,,0,2,LEX,PIT,289,,,0,,0,,,,,,NO,YES
1994,1,14,5,,1700,,1810,US,274,,,70,,,,EWR,BOS,200,,,1,,0,,,,,,YES,YES
